CCTV频道,#genre#
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV电视指南频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226987/index.m3u8
CCTV央视台球频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
CCTV央视文化精品频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226981/index.m3u8
CCTV女性时尚频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226969/index.m3u8
CCTV高尔夫·网球频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8
CCTV风云足球频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
CCTV兵器科技频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
CCTV风云音乐频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
CCTV怀旧剧场频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
CCTV第一剧场频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
CCTV风云剧场频道,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
咪咕体育,http://gslbserv.itv.cmvideo.cn:80/3000000010000005180/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=3
咪咕体育,http://gslbserv.itv.cmvideo.cn:80/3000000010000015686/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=3
CCTV1-综合,http://222.92.7.170:3333/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://222.92.7.170:3333/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://222.92.7.170:3333/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://222.92.7.170:3333/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://222.92.7.170:3333/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://222.92.7.170:3333/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://222.92.7.170:3333/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://222.92.7.170:3333/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://222.92.7.170:3333/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://222.92.7.170:3333/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://222.92.7.170:3333/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://222.92.7.170:3333/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://222.92.7.170:3333/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://222.92.7.170:3333/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://222.92.7.170:3333/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV1,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV9,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV13,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV13,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV16,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV1,http://117.27.190.42:9901/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://117.27.190.42:9901/tsfile/live/23233_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://117.27.190.42:9901/tsfile/live/23234_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://117.27.190.42:9901/tsfile/live/23235_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://117.27.190.42:9901/tsfile/live/23236_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://117.27.190.42:9901/tsfile/live/23237_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://117.27.190.42:9901/tsfile/live/23238_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://117.27.190.42:9901/tsfile/live/23239_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://117.27.190.42:9901/tsfile/live/23240_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://117.27.190.42:9901/tsfile/live/23241_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://117.27.190.42:9901/tsfile/live/23242_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://117.27.190.42:9901/tsfile/live/23243_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://117.27.190.42:9901/tsfile/live/23244_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://117.27.190.42:9901/tsfile/live/23245_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://117.27.190.42:9901/tsfile/live/23247_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5＋,http://117.27.190.42:9901/tsfile/live/23248_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://117.27.190.42:9901/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://222.185.245.194:9901/tsfile/live/0001_1.m3u8
CCTV1,http://101.71.176.182:8888/newlive/live/hls/14/live.m3u8
CCTV1,http://119.98.162.90:85/rtp/239.254.96.161:9040
CCTV1,http://49.74.45.21:8888/rtp/239.49.9.43:6000
CCTV1,http://175.0.50.196:8899/tsfile/live/0017_1.m3u8
CCTV1,http://183.134.3.22:8888/newlive/live/hls/13/live.m3u8
CCTV1,http://101.19.60.244:9901/tsfile/live/0001_1.m3u8
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://182.122.75.232:8089/hls/1/index.m3u8
CCTV1,http://171.117.59.138:8082/rtp/226.0.2.153:9136
CCTV2,http://60.211.222.154:9901/tsfile/live/0002_1.m3u8
CCTV2,http://61.182.33.218:8000/hls/2/index.m3u8
CCTV2,http://222.189.51.62:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://101.71.176.182:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://58.248.84.148:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://36.96.38.246:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://211.142.218.74:9901/iptv/movie/cctv2.mp4?key=txiptv
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV2,https://epg.pw/stream/9ae57cd4c14b62284d1867572b5c6d0eb610112cb78cb6bbc286e29f765cc7a5.m3u8
CCTV2,http://cfss.cc/api/ysp/cctv2.m3u8
CCTV2,http://58.19.38.233:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://1.80.12.9:10000/hls/3/index.m3u8
CCTV3,http://36.96.38.246:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://cfss.cc/api/ysp/cctv3.m3u8
CCTV3,http://58.19.38.233:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://222.189.51.62:8888/newlive/live/hls/3/live.m3u8
CCTV3,https://iptv.luas.edu.cn/liverespath/f76f9947c68be18d7a456e25aa59a08c5747e6a5/0df24da9ec-0-0-dca40ddadd2a051ce1a83536d9310820/index.m3u8
CCTV3,http://125.210.152.19:9123/live/hzgq-cctv3gq-h264.m3u8
CCTV3,http://221.2.146.228:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://111.207.22.10:8888/newlive/live/hls/4/live.m3u8
CCTV3,https://tv.smart-chat.net/iptv.php?id=100300&num=1
CCTV3,https://tv.smart-chat.net/iptv.php?id=100300&num=2
CCTV3,https://tv.smart-chat.net/iptv.php?id=100300&num=3
CCTV3,http://101.71.176.182:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://222.188.68.38:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://183.134.3.22:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://cfss.cc/api/ysp/cctv4.m3u8
CCTV4,http://39.65.192.247:4200/udp/239.253.254.187:8000
CCTV4,http://221.2.146.228:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://36.96.38.246:8888/newlive/live/hls/5/live.m3u8
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV4,https://iptv.luas.edu.cn/liverespath/c70d81eefb04fef7777c2a5aab4ddc9459ce4246/0baa43f537-0-0-5bc4eda6a2031a1140906b86d867a79e/index.m3u8
CCTV4,http://58.19.38.233:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://125.210.152.19:9123/live/hzgq-cctv4gq-h264.m3u8
CCTV4,https://epg.pw/stream/14061ea886df6edfb76d8015ef8df852acbce8d4d862909db2279d3b3387cd9c.m3u8
CCTV4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV4,http://1.80.12.9:10000/hls/4/index.m3u8
CCTV4,http://101.71.176.182:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://111.207.22.10:8888/newlive/live/hls/5/live.m3u8
CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5,http://61.182.33.218:8000/hls/5/index.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://1.80.12.9:10000/hls/5/index.m3u8
CCTV5,http://111.207.22.10:8888/newlive/live/hls/7/live.m3u8
CCTV5,http://111.207.22.10:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://36.96.38.246:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://36.96.38.246:8888/newlive/live/hls/7/live.m3u8
CCTV5,http://58.19.38.233:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://cfss.cc/api/ysp/cctv5.m3u8
CCTV5+,http://27.185.2.92:9901/hls/101/index.m3u8
CCTV5+,http://58.57.21.166:9901/tsfile/live/0016_1.m3u8
CCTV5+,http://218.17.205.210:9901/tsfile/live/0126_1.m3u8
CCTV6,http://222.189.51.62:8888/newlive/live/hls/6/live.m3u8
CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV6,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV6,http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8
CCTV6,http://111.207.22.10:8888/newlive/live/hls/8/live.m3u8
CCTV6,http://36.96.38.246:8888/newlive/live/hls/8/live.m3u8
CCTV6,http://58.19.38.233:8888/newlive/live/hls/8/live.m3u8
CCTV6,http://gmxw.7766.org:808/hls/94/index.m3u8
CCTV6,https://iptv.luas.edu.cn/liverespath/f2f39ee2105c85c32df375728a51b5d89d3afab4/113ed89f48-0-0-85216e55861329ec31ba1437a2ff37c9/index.m3u8
CCTV6,http://221.1.210.106:8053/tsfile/live/0006_1.m3u8
CCTV6,http://113.195.13.183:9901/tsfile/live/1074_1.m3u8
CCTV6,http://211.142.218.74:9901/iptv/movie/cctv6.mp4?key=txiptv
CCTV6,http://222.173.134.150:8888/tsfile/live/0006_1.m3u8
CCTV6,https://tv.smart-chat.net/iptv.php?id=101000&num=3
CCTV7,http://222.189.51.62:8888/newlive/live/hls/7/live.m3u8
CCTV7,http://221.2.146.228:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://121.18.43.254:10000/hls/7/index.m3u8
CCTV7,http://36.96.38.246:8888/newlive/live/hls/9/live.m3u8
CCTV7,http://58.19.38.233:8888/newlive/live/hls/9/live.m3u8
CCTV7,http://cfss.cc/api/ysp/cctv7.m3u8
CCTV7,http://101.71.176.182:8888/newlive/live/hls/9/live.m3u8
CCTV7,https://iptv.luas.edu.cn/liverespath/f116a0a5035935a3435155998163d8eaa60554c3/4ba629f762-0-0-0a66b18805ff859ce68ab1137157079e/index.m3u8
CCTV7,http://125.210.152.19:9123/live/hzgq-cctv7gq-h264.m3u8
CCTV7,http://111.207.22.10:8888/newlive/live/hls/9/live.m3u8
CCTV7,http://219.135.208.218:8083/tsfile/live/0007_1.m3u8
CCTV7,https://tv.smart-chat.net/iptv.php?id=101100&num=1
CCTV7,https://tv.smart-chat.net/iptv.php?id=101100&num=2
CCTV7,https://tv.smart-chat.net/iptv.php?id=101100&num=3
CCTV7,http://222.188.68.38:8888/newlive/live/hls/8/live.m3u8
CCTV8,http://222.189.51.62:8888/newlive/live/hls/8/live.m3u8
CCTV8,http://101.19.60.244:9901/tsfile/live/0008_1.m3u8
CCTV8,http://1.82.70.21:8009/rtp/239.112.205.224:5140
CCTV8,http://36.96.38.246:8888/newlive/live/hls/10/live.m3u8
CCTV8,http://58.19.38.233:8888/newlive/live/hls/10/live.m3u8
CCTV8,http://cfss.cc/api/ysp/cctv8.m3u8
CCTV8,https://iptv.luas.edu.cn/liverespath/9e6e3b618b5dc902d992949f0c669bb674f6cde8/cae4471c68-0-0-316245c664c3311072c7279ec29672fe/index.m3u8
CCTV8,http://125.210.152.19:9123/live/hzgq-cctv8gq-h264.m3u8
CCTV8,http://221.2.146.228:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://221.210.64.165:2233/hls/15/index.m3u8
CCTV8,http://111.207.22.10:8888/newlive/live/hls/10/live.m3u8
CCTV8,http://61.182.33.218:8000/hls/8/index.m3u8
CCTV8,https://tv.smart-chat.net/iptv.php?id=101200&num=1
CCTV8,https://tv.smart-chat.net/iptv.php?id=101200&num=3
CCTV9,http://222.188.68.38:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?
CCTV9,http://101.71.176.182:8888/newlive/live/hls/11/live.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV9,http://118.249.60.99:9901/tsfile/live/0010_1.m3u8
CCTV9,http://113.9.165.138:55055/udp/229.58.190.156:5000
CCTV9,http://36.96.38.246:8888/newlive/live/hls/11/live.m3u8
CCTV9,http://cfss.cc/api/ysp/cctv9.m3u8
CCTV9,https://iptv.luas.edu.cn/liverespath/0d0f0da65ba843b8d1dd6fed315bfea896ddd20d/a1920294b0-0-0-f3b9b294fd2e3c4db85f962e6949c4a1/index.m3u8
CCTV9,http://125.210.152.19:9123/live/hzgq-cctvjlgq-h264.m3u8
CCTV9,http://221.2.146.228:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://221.210.64.165:2233/hls/16/index.m3u8
CCTV9,http://111.207.22.10:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://101.71.176.182:8888/newlive/live/hls/12/live.m3u8
CCTV10,http://221.2.146.228:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV10,http://36.96.38.246:8888/newlive/live/hls/12/live.m3u8
CCTV10,http://58.19.38.233:8888/newlive/live/hls/12/live.m3u8
CCTV10,http://cfss.cc/api/ysp/cctv10.m3u8
CCTV10,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
CCTV10,https://iptv.luas.edu.cn/liverespath/924e6292a0e6f7440e8380075908fed9915b3c00/780499a193-0-0-c50d57fd93cf32a5144ec8d889eb3ed9/index.m3u8
CCTV10,http://121.23.184.27:808/hls/10/index.m3u8
CCTV10,http://111.207.22.10:8888/newlive/live/hls/12/live.m3u8
CCTV10,https://tv.smart-chat.net/iptv.php?id=101500&num=2
CCTV10,https://tv.smart-chat.net/iptv.php?id=101500&num=3
CCTV10,https://tv.smart-chat.net/iptv.php?id=101500&num=1
CCTV10,http://222.188.68.38:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://125.210.152.19:9123/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://222.189.51.62:8888/newlive/live/hls/11/live.m3u8
CCTV11,http://221.2.146.228:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://cfss.cc/api/ysp/cctv11.m3u8
CCTV11,http://58.19.38.233:8888/newlive/live/hls/13/live.m3u8
CCTV11,https://epg.pw/stream/6ba4b8f02bff74ce5171e23abaeba2663203fa82ab49744698d429566f706afe.m3u8
CCTV11,http://113.57.109.36:9901/tsfile/live/0011_1.m3u8
CCTV11,http://36.96.38.246:8888/newlive/live/hls/13/live.m3u8
CCTV11,https://iptv.luas.edu.cn/liverespath/3d0aa0f1604f13f0ae90c2dc0590ca22a1bcaaa2/646e868153-0-0-a53121a1df5b93a74d1980270e652878/index.m3u8
CCTV11,http://183.134.3.22:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://111.207.22.10:8888/newlive/live/hls/13/live.m3u8
CCTV11,http://101.71.176.182:8888/newlive/live/hls/13/live.m3u8
CCTV11,https://tv.smart-chat.net/iptv.php?id=101600&num=3
CCTV11,https://tv.smart-chat.net/iptv.php?id=101600&num=1
CCTV11,https://tv.smart-chat.net/iptv.php?id=101600&num=2
CCTV11,http://222.188.68.38:8888/newlive/live/hls/12/live.m3u8
CCTV12,http://101.71.176.182:8888/newlive/live/hls/14/live.m3u8
CCTV12,http://183.134.3.22:8888/newlive/live/hls/13/live.m3u8
CCTV12,https://epg.pw/stream/06025da15ba23cad6264166f6216c1cfb7f9bd2e1e759e6eab92ed6fb62f7daa.m3u8
CCTV12,http://cfss.cc/api/ysp/cctv12.m3u8
CCTV12,http://36.96.38.246:8888/newlive/live/hls/14/live.m3u8
CCTV12,http://58.19.38.233:8888/newlive/live/hls/14/live.m3u8
CCTV12,https://iptv.luas.edu.cn/liverespath/fb84bde1de15cdb0308a7910cebc0497594ae94e/e2d8885f42-0-0-6e1f55986652ba786606a116c5cc0775/index.m3u8
CCTV12,http://125.210.152.19:9123/live/hzgq-cctv12gq-h264.m3u8
